Date/Time,ZONE ONE:Zone People Occupant Count [](TimeStep),ZONE ONE:Zone Lights Total Heating Energy [J](TimeStep),ZONE ONE:Zone Electric Equipment Total Heating Energy [J](TimeStep),ZONE ONE:Zone Air Temperature [C](TimeStep),BOILER 1:Boiler Heating Rate [W](TimeStep),CHILLER 1:Chiller Evaporator Cooling Rate [W](TimeStep) 
 07/20  06:20:00,0.0,12000.0,12672.0,25.005991208826889,860.1166228292772,1314.6937073624183 
 07/20  06:30:00,0.0,12000.0,12672.0,25.006537353332307,977.0205675231238,1295.303833502563 
 07/20  06:40:00,0.0,12000.0,12672.0,25.003001977864434,979.4133402535678,1278.1572905110008 
 07/20  06:50:00,0.0,12000.0,12672.0,25.003030456689538,969.5206728363735,1261.0771917505288 
 07/20  07:00:00,0.0,12000.0,12672.0,25.00182640293516,965.6558228879204,1244.0633059880554 
 07/20  07:10:00,4.0,180000.0,190080.0,25.000643813293335,521.4821220304369,1265.8219604421074 
 07/20  07:20:00,4.0,180000.0,190080.0,25.001391521987327,447.3876975499368,1291.6907350814204 
 07/20  07:30:00,4.0,180000.0,190080.0,25.00259332065416,421.9669604860721,1317.2757035341508 
 07/20  07:40:00,4.0,180000.0,190080.0,25.002328938309384,402.01781940427358,1342.5577387783883 
 07/20  07:50:00,4.0,180000.0,190080.0,25.00171066101379,383.76495219556116,1367.5242966820877 
 07/20  08:00:00,4.0,180000.0,190080.0,25.001891222591284,366.82703519207856,1392.1630782156542 
 07/20  08:10:00,19.0,510000.0,538559.9999999999,24.997017483654976,0.0,2758.9086784938445 
 07/20  08:20:00,19.0,510000.0,538559.9999999999,24.99700374898881,0.0,2924.6392559122996 
 07/20  08:30:00,19.0,510000.0,538559.9999999999,24.999545657514159,29.738811613466269,3110.4813267343834 
 07/20  08:40:00,19.0,510000.0,538559.9999999999,24.995588350527105,0.0,3255.7287575631563 
 07/20  08:50:00,19.0,510000.0,538559.9999999999,24.994542268330315,0.0,3380.781492913617 
 07/20  09:00:00,19.0,510000.0,538559.9999999999,24.994197184533506,0.0,3505.26102463305 
 07/20  09:10:00,19.0,570000.0,601920.0,24.993850962653437,0.0,3633.1450048419556 
 07/20  09:20:00,19.0,570000.0,601920.0,24.99390004549817,0.0,3613.008720198854 
 07/20  09:30:00,19.0,570000.0,601920.0,24.994011255389727,0.0,3569.5097463036955 
